,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
A,0.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
B,2.0,0.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0
C,3.0,5.0,0.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,1.0,4.0
D,1.0,3.0,2.0,0.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0
E,2.0,4.0,5.0,3.0,0.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0
F,2.0,4.0,5.0,3.0,4.0,0.0,4.0,5.0,4.0,2.0,1.0,3.0,4.0,4.0,3.0
G,2.0,4.0,3.0,1.0,4.0,4.0,0.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0
H,3.0,5.0,4.0,2.0,5.0,5.0,1.0,0.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0
I,2.0,4.0,5.0,3.0,2.0,4.0,4.0,5.0,0.0,4.0,3.0,3.0,4.0,4.0,1.0
J,2.0,4.0,5.0,3.0,4.0,2.0,4.0,5.0,4.0,0.0,1.0,3.0,4.0,4.0,3.0
K,1.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0
L,1.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0
M,2.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,0.0,4.0,3.0
N,2.0,4.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,0.0,3.0
O,1.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0
