,A,AA,AB,AC,AD,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,0.0,5.0,5.0,6.0,6.0,4.0,6.0,3.0,2.0,5.0,6.0,6.0,4.0,1.0,6.0,5.0,3.0,5.0,6.0,5.0,6.0,2.0,7.0,4.0,6.0,6.0,6.0,4.0,6.0,4.0
AA,5.0,0.0,2.0,5.0,1.0,3.0,5.0,2.0,3.0,4.0,5.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,3.0,3.0,5.0,3.0,5.0,1.0
AB,5.0,2.0,0.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,1.0,1.0,5.0,3.0,5.0,1.0
AC,6.0,5.0,5.0,0.0,6.0,4.0,4.0,3.0,4.0,1.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,2.0,6.0,5.0,6.0,6.0,6.0,4.0,2.0,6.0,4.0
AD,6.0,1.0,3.0,6.0,0.0,4.0,6.0,3.0,4.0,5.0,6.0,2.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,4.0,4.0,6.0,4.0,6.0,2.0
B,4.0,3.0,3.0,4.0,4.0,0.0,4.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0
C,6.0,5.0,5.0,4.0,6.0,4.0,0.0,3.0,4.0,3.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,1.0,6.0,5.0,4.0,6.0,3.0,6.0,6.0,6.0,2.0,2.0,6.0,4.0
D,3.0,2.0,2.0,3.0,3.0,1.0,3.0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
E,2.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,0.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0
F,5.0,4.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,0.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,5.0,3.0
G,6.0,5.0,5.0,6.0,6.0,2.0,6.0,3.0,4.0,5.0,0.0,6.0,6.0,5.0,2.0,1.0,5.0,5.0,4.0,3.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0
H,6.0,1.0,3.0,6.0,2.0,4.0,6.0,3.0,4.0,5.0,6.0,0.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,4.0,4.0,6.0,4.0,6.0,2.0
I,4.0,5.0,5.0,6.0,6.0,4.0,6.0,3.0,2.0,5.0,6.0,6.0,0.0,3.0,6.0,5.0,1.0,5.0,6.0,5.0,6.0,4.0,7.0,2.0,6.0,6.0,6.0,4.0,6.0,4.0
J,1.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,1.0,4.0,5.0,5.0,3.0,0.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,1.0,6.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0
K,6.0,5.0,5.0,6.0,6.0,2.0,6.0,3.0,4.0,5.0,2.0,6.0,6.0,5.0,0.0,1.0,5.0,5.0,4.0,3.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0
L,5.0,4.0,4.0,5.0,5.0,1.0,5.0,2.0,3.0,4.0,1.0,5.0,5.0,4.0,1.0,0.0,4.0,4.0,3.0,2.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0
M,3.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,1.0,4.0,5.0,5.0,1.0,2.0,5.0,4.0,0.0,4.0,5.0,4.0,5.0,3.0,6.0,1.0,5.0,5.0,5.0,3.0,5.0,3.0
N,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,0.0,5.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0
O,6.0,5.0,5.0,6.0,6.0,2.0,6.0,3.0,4.0,5.0,4.0,6.0,6.0,5.0,4.0,3.0,5.0,5.0,0.0,1.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,2.0,4.0
P,5.0,4.0,4.0,5.0,5.0,1.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,1.0,0.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0
Q,6.0,5.0,5.0,2.0,6.0,4.0,4.0,3.0,4.0,1.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,0.0,6.0,5.0,6.0,6.0,6.0,4.0,2.0,6.0,4.0
R,2.0,5.0,5.0,6.0,6.0,4.0,6.0,3.0,2.0,5.0,6.0,6.0,4.0,1.0,6.0,5.0,3.0,5.0,6.0,5.0,6.0,0.0,7.0,4.0,6.0,6.0,6.0,4.0,6.0,4.0
S,7.0,6.0,6.0,5.0,7.0,5.0,3.0,4.0,5.0,4.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,2.0,7.0,6.0,5.0,7.0,0.0,7.0,7.0,7.0,1.0,3.0,7.0,5.0
T,4.0,5.0,5.0,6.0,6.0,4.0,6.0,3.0,2.0,5.0,6.0,6.0,2.0,3.0,6.0,5.0,1.0,5.0,6.0,5.0,6.0,4.0,7.0,0.0,6.0,6.0,6.0,4.0,6.0,4.0
U,6.0,3.0,1.0,6.0,4.0,4.0,6.0,3.0,4.0,5.0,6.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,0.0,2.0,6.0,4.0,6.0,2.0
V,6.0,3.0,1.0,6.0,4.0,4.0,6.0,3.0,4.0,5.0,6.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,2.0,0.0,6.0,4.0,6.0,2.0
W,6.0,5.0,5.0,4.0,6.0,4.0,2.0,3.0,4.0,3.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,1.0,6.0,5.0,4.0,6.0,1.0,6.0,6.0,6.0,0.0,2.0,6.0,4.0
X,4.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,0.0,4.0,2.0
Y,6.0,5.0,5.0,6.0,6.0,2.0,6.0,3.0,4.0,5.0,4.0,6.0,6.0,5.0,4.0,3.0,5.0,5.0,2.0,1.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,0.0,4.0
Z,4.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,4.0,0.0
